,objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,additionalImages,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,objectWikidata_URL,isTimelineWork,GalleryNumber,constituents.constituentID,constituents.role,constituents.name,constituents.constituentULAN_URL,constituents.constituentWikidata_URL,constituents.gender,measurements.elementName,measurements.elementDescription,measurements.elementMeasurements.Diameter,tags.term,tags.AAT_URL,tags.Wikidata_URL
0,1,False,1979.486.1,1979,False,,,[],The American Wing,Coin,One-dollar Liberty Head Coin,,,,,,Maker,,James Barton Longacre,"American, Delaware County, Pennsylvania 1794–1869 Philadelphia, Pennsylvania",,"Longacre, James Barton",American,1794,1869,,https://www.wikidata.org/wiki/Q3806459,http://vocab.getty.edu/page/ulan/500011409,1853,1853,1853,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/1,,False,,164292.0,Maker,James Barton Longacre,http://vocab.getty.edu/page/ulan/500011409,https://www.wikidata.org/wiki/Q3806459,,0,0,0.0,0,0,0
1,2,False,1980.264.5,1980,False,,,[],The American Wing,Coin,Ten-dollar Liberty Head Coin,,,,,,Maker,,Christian Gobrecht,1785–1844,,"Gobrecht, Christian",,1785,1844,,https://www.wikidata.org/wiki/Q5109648,http://vocab.getty.edu/page/ulan/500077295,1901,1901,1901,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1980",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/2,,False,,1079.0,Maker,Christian Gobrecht,http://vocab.getty.edu/page/ulan/500077295,https://www.wikidata.org/wiki/Q5109648,,0,0,0.0,0,0,0
2,3,False,67.265.9,1967,False,,,[],The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love Jr., 1967",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/3,,False,,0.0,0,0,0,0,0,Other,Object diameter,1.7463,0,0,0
3,4,False,67.265.10,1967,False,,,[],The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love Jr., 1967",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/4,,False,,0.0,0,0,0,0,0,Other,Object diameter,1.7463,0,0,0
4,5,False,67.265.11,1967,False,,,[],The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love Jr., 1967",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/5,,False,,0.0,0,0,0,0,0,Other,Object diameter,1.7463,0,0,0
5,6,False,67.265.12,1967,False,,,[],The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love Jr., 1967",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/6,,False,,0.0,0,0,0,0,0,Other,Object diameter,1.7463,0,0,0
6,7,False,67.265.13,1967,False,,,[],The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love Jr., 1967",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/7,,False,,0.0,0,0,0,0,0,Other,Object diameter,1.7463,Birds,http://vocab.getty.edu/page/aat/300266506,https://www.wikidata.org/wiki/Q5113
7,7,False,67.265.13,1967,False,,,[],The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love Jr., 1967",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/7,,False,,0.0,0,0,0,0,0,Other,Object diameter,1.7463,Coins,http://vocab.getty.edu/page/aat/300037222,https://www.wikidata.org/wiki/Q41207
8,8,False,67.265.14,1967,False,,,[],The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love Jr., 1967",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/8,,False,,0.0,0,0,0,0,0,Other,Object diameter,1.7463,Men,http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q8441
9,8,False,67.265.14,1967,False,,,[],The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love Jr., 1967",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/8,,False,,0.0,0,0,0,0,0,Other,Object diameter,1.7463,Profiles,http://vocab.getty.edu/page/aat/300123319,https://www.wikidata.org/wiki/Q4382010
